,left,right,top,bottom,Name,height,width
191,640,1271,0,1911,fender-playertelecaster-hh-pf-3ts,1911,631
192,656,1263,8,1911,jackson-mj-series-soloist-sl2-black,1903,607
193,648,1271,0,1919,squier-40th-anniversary-telecaster-gold-edition-blk,1919,623
194,648,1271,0,1919,fender-player-stratocaster-mn-pacific-peach,1919,623
195,640,1279,8,1911,squier-mini-jazzmaster-owh,1903,639
196,632,1287,8,1911,fender-vintera-60-s-jaguar-mod-sfg,1903,655
197,320,639,0,959,schecter-hellraiser-c-7-bch,959,319
198,320,639,0,959,esp-ltd-sc20-sob-stephen-carpenter-sonic-blue,959,319
199,312,641,0,951,esp-ltd-gh-600-sw,951,329
200,632,1287,0,1919,gretsch-guitars-electromatic-g5222-double-jet-black,1919,655
201,640,1279,0,1919,fender-jim-root-jazzmaster-v4-wht-10119364,1919,639
202,616,1303,8,1911,d-angelico-premier-mini-dc-sb,1903,687
203,283,679,0,959,esp-ltd-arrow1000-cars,959,396
204,592,1327,0,1919,gretsch-guitars-electromatic-g5622t-emtc-cb-dc-asp,1919,735
205,304,655,0,959,esp-e-ii-eclipse-ft-fm-black-natural-burst,959,351
206,320,639,0,959,redwood-s-style-owt-hss,959,319
207,549,1375,2,1908,esp-ltd-arrow-nt-black-metal-blks,1906,826
208,312,631,0,959,gibson-60th-anniversary-1961-sg-les-paul-standard-reissue-10140883,959,319
209,592,1319,8,1903,gretsch-guitars-streamliner-g2622t-tor,1895,727
210,608,1311,13,1903,eastman-thinline-t486b-classic-cla,1890,703
211,600,1327,64,1910,d-angelico-premier-exl-1-shb,1846,727
212,648,1271,8,1911,fender-american-professional-ii-strat-hss-mn-mys-sfg,1903,623
213,656,1263,24,1903,suhr-custom-standard-3ts,1879,607
214,360,599,176,783,epiphone-explorer-ebony,607,239
215,304,650,8,954,danelectro-dc59csb-12-string-hollowbody,946,346
216,309,647,0,959,esp-ltd-sn-1000fr-black-blast,959,338
217,0,783,0,957,danelectro-the-66-thinline-orange,957,783
218,616,1303,8,1911,ibanez-artcore-ag75-bs,1903,687
219,648,1271,8,1911,schecter-vintage-pt-gloss-black,1903,623
220,648,1263,16,1895,epiphone-les-paul-classic-worn-purple-10149974,1879,615
221,640,1287,8,1903,gretsch-guitars-g5426-jet-club-silver,1895,647
222,648,1271,8,1911,fender-american-professional-ii-telecaster-mn-btb,1903,623
223,656,1263,0,1919,fender-american-performer-strat-rw-hss-3tsb,1919,607
224,616,1303,0,1919,jackson-randy-rhoads-js32t-satin-black,1919,687
225,312,647,8,951,guild-jetstar-st-bk,943,335
226,344,617,56,903,ibanez-gio-grg7221qa-tks,847,273
227,648,1271,0,1919,squier-40th-anniversary-telecaster-gold-edition-blk-10150201,1919,623
228,648,1271,16,1911,sandberg-california-st-ii-hca-3tsb,1895,623
229,640,1279,0,1919,fender-jim-atkins-ja-90-telecaster-thinline-nat,1919,639
230,320,631,0,951,schecter-c-6-deluxe-10080855,951,311
231,288,679,0,959,heritage-standard-h-535-trans-cherry,959,391
232,640,1279,0,1919,fender-american-vintage-ii-1951-telecaster-btb,1919,639
233,624,1295,8,1911,evh-wolfgang-standard-exotic-koa,1903,671
234,648,1271,0,1919,fender-player-stratocaster-pf-3ts,1919,623
235,600,1319,0,1919,jackson-x-series-warrior-wrx24m-ferrari-red,1919,719
236,626,1293,0,1917,esp-ltd-phoenix-1000-stbs,1917,667
237,320,639,8,954,suhr-classic-alt-t-sfmg,946,319
238,565,1359,1,1911,esp-ltd-arrow-nt-arctic-metal-sws,1910,794
239,640,1279,8,1911,hagstrom-ultra-max-special-mystique-metallic,1903,639
240,640,1287,16,1903,prs-custom-24-wood-library-blue-fade,1887,647
241,648,1271,0,1919,squier-affinity-tele-mn-btb-10130539,1919,623
242,344,615,80,885,slick-sl-54-sg,805,271
243,672,1255,8,1911,jackson-x-series-slxdx-sb,1903,583
244,648,1263,16,1903,friedman-vintage-t-mn-hs-shell-pink,1887,615
245,640,1279,8,1911,d-angelico-deluxe-atlantic-vs-10142172,1903,639
246,616,1303,0,1919,yamaha-revstar-rss02tswb-swift-blue,1919,687
247,546,1386,0,1909,esp-ltd-snakebyte-camo,1909,840
248,648,1271,8,1911,fender-american-professional-ii-stratocaster-rw-owh,1903,623
249,624,1295,8,1911,d-angelico-deluxe-bedford-sh-le-sap,1903,671
250,352,610,56,903,ibanez-rgixl7-bk-iron-label,847,258
251,600,1311,8,1911,jackson-king-v-x-series-kvxmg-stn-blk,1903,711
252,624,1295,8,1911,esp-signature-james-hetfield-iron-cross,1903,671
253,640,1279,8,1911,squier-classic-vibe-60s-esquire-custom-3ts,1903,639
254,632,1279,0,1911,evh-wolfgang-special-sbk,1911,647
255,592,1327,0,1911,gretsch-guitars-electromatic-g5622t-emtc-cb-org,1911,735
256,656,1263,8,1903,schecter-silver-mountain-c-1-tv,1895,607
257,672,1247,16,1911,fender-player-offset-mustang-snb,1895,575
258,672,1247,8,1903,fender-player-offset-mustang-fmg,1895,575
259,600,1319,16,1903,d-angelico-premier-dc-fr-10133441,1887,719
260,312,639,8,951,esp-ltd-phoenix-1000-vw,943,327
261,336,638,0,959,ibanez-pgmm31-wh-paul-gilbert-mikro,959,302
262,648,1271,0,1919,fender-japan-traditional-50-stele-bsb,1919,623
263,640,1287,8,1911,ibanez-ndm5-sb-noodles,1903,647
264,648,1263,8,1903,epiphone-slash-les-paul-standard-vermillion-burst,1895,615
265,293,663,8,954,guild-starfire-iii-chr,946,370
266,648,1271,8,1911,fender-signature-strat-kenny-wayne-shepherd-tfsb,1903,623
267,384,575,176,783,epiphone-les-paul-prophecy-olivetiger,607,191
268,664,1247,8,1911,jackson-pro-mdk-7-ms-eureka-mist,1903,583
269,312,647,8,951,esp-ltd-ec-401-ow-10151665,943,335
270,320,639,0,959,yamaha-pacifica-212v-qm-tbs,959,319
271,664,1255,8,1911,schecter-c-1-fr-s-apocalypse-rr,1903,591
272,344,615,56,903,ibanez-rga42hpt-lbm,847,271
273,320,639,8,951,sandberg-california-dc-ii-mf-bk-masterpiece,943,319
274,296,663,8,951,hagstrom-fantomen-blk,943,367
275,640,1279,8,1911,fender-signature-johnny-marr-jaguar-owh,1903,639
276,648,1271,8,1911,schecter-omen-elite-6-stbb,1903,623
277,648,1271,0,1919,fender-aerodyne-special-telecaster-cab,1919,623
278,322,639,5,951,harmony-standard-series-silhouette-pearl-white,946,317
279,656,1263,16,1903,schecter-reaper-6-fr-inb,1887,607
280,608,1335,8,1911,gretsch-guitars-g5410t-rat-matwht,1903,727
281,344,619,56,903,ibanez-js240ps-ca-joe-satriani,847,275
282,640,1271,8,1903,jackson-monarkh-js22-sbk-10121910,1895,631
283,624,1295,8,1911,nik-huber-surfmeister-bigsby-candy-apple-green,1903,671
284,656,1255,8,1903,charvel-pro-mod-dk24-hh-2pt-cm-blk,1895,599
285,648,1271,8,1911,hagstrom-ultra-swede-esn-tobacco-sunburst-10131266,1903,623
286,312,647,0,959,esp-ltd-ec-1000-vland,959,335
287,320,639,0,959,fender-jim-root-telecaster-flat-white,959,319
288,296,674,0,959,ibanez-artcore-as73-tbc,959,378
289,640,1279,0,1919,yamaha-pacifica-112vm-gr,1919,639
290,656,1263,8,1911,ibanez-pia-3761-slw-steve-vai-signature,1903,607
291,646,1271,8,1911,fender-vintera-50-s-tele-sbl,1903,625
292,320,639,0,959,esp-ltd-eclipse-87-pw,959,319
293,648,1271,0,1919,fender-american-vintage-ii-1963-telecaster-sfg,1919,623
294,648,1263,8,1911,fender-american-performer-strat-rw-hbst,1903,615
295,641,1271,16,1903,peavey-hp2-tremolo-moon-burst,1887,630
296,296,663,8,951,hagstrom-hj-500-black-gloss,943,367
297,656,1263,16,1903,schecter-sc866-traditional-pro-tbb,1887,607
298,288,671,8,951,hagstrom-67-viking-ii-blkg,943,383
299,624,1263,8,1903,epiphone-les-paul-studio-alpine-white,1895,639
300,648,1271,0,1911,fender-telecaster-custom-telecaster-fmt-amber,1911,623
